clubName,leagueName,countryName,clubLogo,countryFlag
Deportes Tolima,Colombian Liga Postobón,Colombia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Deportes+Tolima.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Colombia.png
Cittadella,Italian Serie B,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Cittadella.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Castellammare di Stabia,Italian Serie B,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Castellammare+di+Stabia.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
US Orléans Loiret Football,French Ligue 2,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/US+Orléans+Loiret+Football.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
Al Raed,Saudi Abdul L. Jameel League,Saudi Arabia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Al+Raed.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Saudi+Arabia.png
Carpi,Italian Serie B,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Carpi.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Alianza Petrolera,Colombian Liga Postobón,Colombia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Alianza+Petrolera.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Colombia.png
Nacional Potosí,Liga de Fútbol Profesional Boliviano,Bolivia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Nacional+Potosí.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Bolivia.png
Coquimbo Unido,Chilian Campeonato Nacional,Chile,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Coquimbo+Unido.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Chile.png
Astra Giurgiu,Romanian Liga I,Romania,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Astra+Giurgiu.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Romania.png
FC Voluntari,Romanian Liga I,Romania,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Voluntari.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Romania.png
Club Plaza Colonia,Uruguayan Primera División,Uruguay,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Club+Plaza+Colonia.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Uruguay.png
Barnet,English League Two,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Barnet.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
